acc_mean,acc_std,acc_energy,acc_spikes,gps_mean_speed,gps_max_speed,gps_speed_std,gps_stops,window,source_id,label
2.202769863965112,2.000225466466991,26599.555553922688,11,3.6255172655488366,8.319999694824219,3.027361632812649,9,0,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.9052555939094936,1.0214470816455203,5602.384873226392,0,0.02976846687568431,0.2966221917021703,0.07986556331510161,30,1,1970_Oxford_Connector-2025-04-10_03-54-53,car
1.9651680415723394,1.4067986111773263,17573.492919626995,0,4.529443879155085,14.50395214135874,5.113242027701554,9,2,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.7152374370194613,0.8841856827904788,3890.90509479254,0,0.0064320780350892405,0.080185578115516,0.01884090689638702,30,3,1970_Oxford_Connector-2025-04-10_03-54-53,car
1.1466575064001985,2.0881009670770467,17060.332015027197,10,0.023205032614869708,0.1855291448313326,0.04655773277354728,30,4,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.9145271561460634,1.2460296148908265,7186.797119224201,0,1.888339479890134,9.171334152316913,2.806942165381678,17,5,1970_Oxford_Connector-2025-04-10_03-54-53,car
2.361522889152401,1.6129213126685027,24605.919785043763,0,12.252532794447553,14.874626007568054,1.629830321725191,0,6,1970_Oxford_Connector-2025-04-10_03-54-53,car
2.695952361756687,1.8839841434614852,32535.65721589188,0,12.381272412306581,14.504552684956352,1.5431053900146359,0,7,1970_Oxford_Connector-2025-04-10_03-54-53,car
2.0604578135810296,1.2755023438236088,17668.402519386633,0,9.36726216644959,15.1274577863777,4.567354156305653,0,8,1970_Oxford_Connector-2025-04-10_03-54-53,car
1.766223810699452,1.3134764575797184,14576.17854447584,0,13.574318177578,14.977685530062509,0.6914023603771108,0,9,1970_Oxford_Connector-2025-04-10_03-54-53,car
1.348179776736892,1.1561093924441663,9486.429745274168,0,5.663999279387273,13.68545970400756,5.587355969543151,12,10,1970_Oxford_Connector-2025-04-10_03-54-53,car
1.5488270390495757,2.163885401053831,21302.8446643581,13,1.6029850841784368,10.511529685061143,3.1690285510166363,22,11,1970_Oxford_Connector-2025-04-10_03-54-53,car
1.729356926453514,1.5826544100239595,16533.3655201873,5,12.738057186769074,14.915413246528598,1.107874044582831,0,12,1970_Oxford_Connector-2025-04-10_03-54-53,car
1.892878016016713,1.139782172641485,14684.029375047787,0,11.218239352806117,14.651855656376258,3.0014730731067,0,13,1970_Oxford_Connector-2025-04-10_03-54-53,car
1.4665559523153149,0.7767053905074782,8286.356122105153,0,13.839581498340003,16.19907300829193,1.0656409122272745,0,14,1970_Oxford_Connector-2025-04-10_03-54-53,car
2.5974515810029084,2.182752915717596,34620.819929947276,10,16.89428213513958,21.45045387104101,3.796053606003277,0,15,1970_Oxford_Connector-2025-04-10_03-54-53,car
2.620402873603516,2.275117948541599,36231.22659371521,13,17.78553794020985,21.99483311032011,4.289228371869722,0,16,1970_Oxford_Connector-2025-04-10_03-54-53,car
2.06156080553952,1.03995310133026,16036.177004519803,0,22.526611581619168,24.729619938455286,1.5138709478380739,0,17,1970_Oxford_Connector-2025-04-10_03-54-53,car
2.817802665422666,1.4203349645680203,29959.68873655654,0,14.441282951334045,22.87740155983978,7.073696716816986,0,18,1970_Oxford_Connector-2025-04-10_03-54-53,car
2.2127318721406253,1.017322374953289,17845.7266572612,0,15.226658218894881,24.92336551128536,7.460270929458269,0,19,1970_Oxford_Connector-2025-04-10_03-54-53,car
2.334619024484787,2.4855946036225216,34972.7304007819,9,3.772031739730139,9.009403421517566,3.18199225754424,9,20,1970_Oxford_Connector-2025-04-10_03-54-53,car
1.3030131877782207,1.8839032109424116,15773.98347859113,5,0.3700590906226532,1.9451121993359173,0.5877034605646269,22,21,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.3588874423201932,0.44489052585485656,982.5992233816312,0,0.03621515736226596,0.3644726268201784,0.09604835591907676,30,22,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.24780474257561527,0.24280572090742072,362.1097273038473,0,0.02320426711452872,0.1698641809890054,0.04569254317847383,30,23,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.20807246892519832,0.26159734813593083,336.1190873804727,0,0.004757006881336217,0.0680635202093814,0.015266868446057869,30,24,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.277409262576111,0.4255203085122058,775.953415680432,0,0.0032478809252672897,0.0974364277580187,0.017789376468596452,30,25,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.437805060354943,0.8355372773000862,2676.697477663225,0,0.02610993550348006,0.2378594901568668,0.06444742118388787,30,26,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.16925673226545415,0.15251527038036256,156.17016518347236,0,0.0,0.0,0.0,30,27,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.3596592023692695,0.6474235084820409,1650.0532738236047,0,0.06091960076132033,0.4263506487710492,0.12845745445389892,30,28,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.1949618498952956,0.34837952244078124,479.2889027368971,0,0.014717581732079776,0.1889157038534541,0.04590092060756104,30,29,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.17117947075155043,0.47326804070860695,761.9107314965439,0,0.01567428619841552,0.3480478469706276,0.0636908718094863,30,30,1970_Oxford_Connector-2025-04-10_03-54-53,car
0.20621540183799292,0.5372544884981947,996.1933943108738,0,0.027810824998623602,0.5203340140104175,0.10925048864159964,29,31,1970_Oxford_Connector-2025-04-10_03-54-53,car
